"","Text ID","SDG","Text"
"1","0ad121123a1a4d3051e4c61ffaf28fca","1","A challenge therefore appears to be not so much to quickly move recipients off benefits, but rather to ensure that they remain self-sufficient after having left. A series of articles based on fortnightly administrative data from the Australian Longitudinal Data Set (LDS) illustrate again the high frequency of repeated spells and emphasize the importance of considering transfers across different income-support programmes. For the 1995 inflow sample of recipients of means-tested single parent benefits, Gregory & Klug (2003) show that spell lengths tend to be short with 45% of all spells lasting shorter than one year."
"2","0e0417524874276c333f6c90f4bbd09c","1","Usually for monetary poverty, household income or consumption is assessed. But in this case sex disaggregation, for example, cannot be meaningfully performed. In multidimensional measures, the unit of identification is normally the individual or the household. When the unit of identification is the individual, it is possible to meaningfully decompose by gender, age, occupation, and other characteristics."
"3","1d2be08d15053dc526c7e7f81c1814b1","1","Moreover, the subordinate status of women in the household has been argued with reference to time use and violence against women.18 Women work longer hours than men and they may have fewer chances in the formal labour market because the domestic tasks are not equally distributed in the household (see Chapter 4 — Work), and significant proportions of women are victims of domestic violence (see Chapter 6 — Violence against women). Women experience more disadvantages when they live in poor households. For example, in countries such as Pakistan and Yemen, girls and boys from the wealthiest quintile have relatively similar net school attendance rates in primary education, but in the poorest quintile the net school attendance of girls is lower than that of boys by 17 and 25 percentage points respectively.19 In households with poor access to clean water and energy, women bear most of the resulting work burden and harmful health effects (see Chapter 7 — Environment)."
"4","4e3476ab20dba2595e704e18de85f420","1","But the long list of problems cited above also translates into significant costs for society as a whole. In addition, there is a significant cost to business and to economies as a whole in the lower skill levels and reduced productivity that are the inevitable result of a large number of children failing to develop to their potential. Finally, there is a cost that must be paid by all in the threat that bottom-end inequality poses to social cohesion and the quality of life in advanced industrial economies. “ Wide inequality,” says the 2010 report of the United Kingdom’s National Equity Panel “is eroding the bonds of common citizenship and recognition of human dignity across economic divides."
"5","5cdc0ee52c091af398aa06b882e562e1","1","This Chapter examines the potential for building community resilience. It reviews the capacities and strategies that allow communities to recover, showing the importance of equitable and sustainable economic development, of ensuring strong social capital, and of empowering communities. It also considers further ways of enhancing resilience to disasters and economic shocks. Without the safety net of savings, property and other buffers - they have less capacity to cope and often experience multiple and repeated shocks that further erode their capacity to cope.1 Already disadvantaged by social and economic imbalances, the poor can thus be further marginalized into vicious cycles of chronic hardship, sometimes for generations. In 2012 it was ranked the Asia-Pacific country 'most at risk'. Between 2002 and 2012, it experienced three cyclones, affecting 2.6 million people, three floods, affecting 500,000 people, and two major earthquakes, affecting 20,000 people."
"6","72a452d93bcd12adcbbceb08437c08dc","1","The provisions for partnership in Goal 8 of the MDGs need to be strengthened and include quantitative, time-bound targets, besides those established for ODA flows. The crises of the last decade have shown that instability in global markets (e.g., finance, food, fuel) is a key issue demanding priority attention. In addition, rising natural disasters, partly caused by climate change, as well as political violence and poor health conditions continue to contribute to human insecurity."
"7","d29a9065dd309a3811c7bbe2886ddbe6","1","Conversely, authors such as Barro (2000) and Lopez (2004) do not find any relationship whatsoever between inequality and economic growth and maintain that investment levels do not significantly depend on inequality. Some income inequality data for Brazil between 1995 and 2009 are shown in table 2. These data are the Gini index, the ratio between the income of the richest 10% and the poorest 40%, the ratio between the income of the richest 20% and the poorest 20%, the ratio between the income of the richest 10% and the poorest 10%, the average per capita household income and the percentage of people below the poverty line. The ratios of the incomes of the richest 10% relative to the poorest 10% and of the richest 20% relative to the poorest 20% also declined significantly during the period, especially the former, which moved down from 67.0 to 43.8. Meanwhile, per capita family income grew by approximately 22.5%. The last column shows that the proportion of people below the poverty line stabilized at around 19%."
"8","d90aa94da60f11492c6e6b995a5f4f0e","1","Indeed, it captures whether the global economic recession brought a trend reversal in the performance of child indicators with respect to the previous pattern in the countries under review. Then, country indices were averaged out by exposure group for each year.14 We have indexed the graphs to 2008 in order to focus on changes before and after the base year, so the figures show (relative/proportional) changes rather than levels. For negative indicators, such as child poverty, the higher the index, the worse the setback. In Annex 5 we report the trend lines disaggregated by 4 country group categories."
"9","daad8a68fc5357535a9aaefc0dc1856b","1","More details on the specific noncontributory benefits per country can be found in Annex 1. In 2010, Kyrgyzstan allocated USD 85.7 million to non-contributory cash transfers, representing 1.65 per cent of GDP (Gassmann, 2010b). The total social protection budget including social insurance is 5.2 per cent of GDP in 2009."
"10","2d129daebd4a9c2d302351e88fc478fa","1","Yet, even if backward linkages are initially absent, concerted efforts can help in developing such linkages over time, as the East Asian newly industrializing economies demonstrate (see Wade, 1990). In fact, emphasis on backward linkages is often necessary even for the very survival of the current lines of production. For example, the experience since the elimination of the international quota regime on textiles and clothing suggests that poverty reduction through labour-intensive exports is not sustainable without the development of backward linkages."
"11","db65d07cab9c3543543f1dad81b818c1","1","Taking Stock of In-work Benefits and Related Measures across the OECD”, OECD Social, Employment and Migration Working Paper, No. Comparing the Wage Penalty for Fixed-term Contracts in Germany and Spain using Quantile Regression”, Labour, Vol. Income Distribution and Poverty in OECD Countries, OECD Publishing, Paris, http://dx.doi.org/10.1787/9789264044197-cn. Org/l 0.1787/eco studies-v2000-2-en. A Quantile Treatment Effect Analysis for Europe”, mimeo. A Multi-State Model of Low Pay Dynamics”, IZA Discussion Paper, No."
"12","309a7ed8fb433468841c9af6a5153981","1","This included two main waves of trade liberalization, one in the 1990s and a second in the 2000s (Coello at al., The first wave lasted From the initial opening of the country until approximately 2001 and foresaw the total abolition of trade licences and the removal of most quantitative restrictions (Thanh and Duong, 2009). The second wave—still ongoing—includes the full involvement of the country in the global network of reciprocal trade agreements (both multilateral, WTO accession in January 2007, and bilateral, such as agreements signed with the United States in 2001 as well as FTA negotiations with the EU concluded in 2016). Empirical analyses consistently highlight the increased importance of international trade in the Vietnamese economy as well as the positive correlation between trade liberalization, growth and poverty reduction."
"13","2405c6c315705a26b7d575132e5bfe57","1","In addition to this recommended minimum disaggregation, further disaggregation would in many areas be of policy relevance. For example, the child population could be disaggregated into smaller age groups as there are often significant differences in poverty rates between these age groups. Different rationale can be applied to this, for example related to policy objectives (for example pre-school, school age, secondary school), or age groups (0-4, 5-9, 10-14, and 15-17)."
"14","cef83cbff4c0698da1cf48ca72ffd852","1","They make significant contributions to non-state social protection systems, and participate informally in all social protection programmes such as labour markets, social insurance, social assistance, micro and area-schemes, and child protection. There is a substantial umbrella of national NGOs. These include the Fiji Council of Social Services (FCOSS), the Fiji Women’s Crisis Centre (FWCC), Kiribati Association of NGOs (KANGO), Samoa Umbrella for NGOs (SUNGO), the Solomon Island Development Trust (SIDT), Tonga Community Development Trust (TCDT), Tuvalu Association of NGOs (TANGO) and the Vanuatu Association of NGOs (VANGO)."
"15","6a5af006f75170a2b7819be58a208e63","1","Spending on humanitarian relief alone exceeded 2% of GDP in 2015/16, underlining the impact of including emergency assistance within calculations for total social protection expenditure. It is notable that the GoE and regional administrations are bearing a significant portion of the cost of this expenditure. However, it achieved the strongest growth in real spending across the five focus areas over this period, averaging 33% per year. Technical support to on- and off-farm livelihoods activities."
