"","Text ID","SDG","Text","Group","Finn","Gib","Jean-Baptiste","Meike","Steve","Alignment","Consensus","Rationale","Notes","Ivan"
"1","0ab3309ee632d1a05cf70cfdb2650c23","1","Many people feel insecure in their homes and communities. One billion girls and boys ages 2-17 worldwide experienced physical, sexual or psychological violence in the prior year, according to one study.94 Some 25 percent of children suffer physical abuse, and nearly 20 percent of girls are sexually abused at least once in their life.95 Elder abuse remains a hidden problem:96 10 percent of older adults were abused in the prior month.97 Homicide is also a major social concern. Physical security and freedom from the threat of violence were particular concerns among female respondents (box 2.7). For women, real or perceived physical and emotional violence is a major barrier to meeting their full human potential and feeling free to move about.",NA,"FALSE","TO DO","TO DO","FALSE","FALSE",1,"FALSE",NA,NA,NA
"2","0ad121123a1a4d3051e4c61ffaf28fca","1","A challenge therefore appears to be not so much to quickly move recipients off benefits, but rather to ensure that they remain self-sufficient after having left. A series of articles based on fortnightly administrative data from the Australian Longitudinal Data Set (LDS) illustrate again the high frequency of repeated spells and emphasize the importance of considering transfers across different income-support programmes. For the 1995 inflow sample of recipients of means-tested single parent benefits, Gregory & Klug (2003) show that spell lengths tend to be short with 45% of all spells lasting shorter than one year.",NA,"FALSE","TO DO","TO DO","TRUE","FALSE",0.333333333333333,"UNDECIDED",NA,NA,NA
"3","0e0417524874276c333f6c90f4bbd09c","1","Usually for monetary poverty, household income or consumption is assessed. But in this case sex disaggregation, for example, cannot be meaningfully performed. In multidimensional measures, the unit of identification is normally the individual or the household. When the unit of identification is the individual, it is possible to meaningfully decompose by gender, age, occupation, and other characteristics.",NA,"TRUE","TO DO","TO DO","FALSE","FALSE",0.333333333333333,"UNDECIDED",NA,NA,NA
"4","0e6beb562967b9cb5464eed927a0ced7","1","The prevailing assumption in the public choice model that has served to underw rite so much of the policy in the past three decades is that the State is autonomous and free from corruptive private interests. From a historical perspective, it is clear that the State has never been a neutral instrument for good only, but has been the subject of power struggles. It is only out of such struggles that it has eventually emerged in the shape that we now use as the model of good governance. The destiny of the State has been determined by local stakeholders with an interest in improving governance.",NA,"FALSE","TO DO","TO DO","FALSE","FALSE",1,"FALSE",NA,NA,NA
"5","16974ee71ed334f02a1fd8d3b76613a5","1","They arc also subject to an ecological relationship and affected by the interplay among the immediate environment, the community and society. Individuals may not automatically bounce back from what appears to be a transitory shock (hysteresis). For instance, a setback in early childhood can have serious ramifications throughout the rest of a person’s life, including the chances of holding onto a job, the uncertainties associated with growing older and the transmission of vulnerabilities to the next generation.",NA,"FALSE","TO DO","TO DO","FALSE","FALSE",1,"FALSE",NA,NA,NA
"6","1954bbff98c784ec56925f7e6e2bca10","1","Rafael Di Telia, Sebastian Edwards and Emesto Schargrodsky), University of Chicago Press. M. Bergsmo, C. Rodriguez-Garavito, P. Kalmanovitz and M.P. Saffon), Torkel Opsahl Academic EPublisher, Oslo. Income Redistribution via Taxes and Transfers across Countries”, OECD Economics Department Working Paper, No.",NA,"FALSE","TO DO","TO DO","FALSE","FALSE",1,"FALSE",NA,NA,NA
"7","19c1909ddb97d947a21b358a4ea354e9","1","The average supply of calories for food consumption of each country or region is normalized by the average dietary energy requirement estimated for its population in order to provide an index of adequacy of the food supply in terms of calories. Analysed together with the prevalence of undernourishment, it allows the determination of whether undernourishment is mainly due to the insufficiency of the food supply or to particularly poor distribution. Aggregate calculations: FAO Statistics Division (ESS).",NA,"FALSE","TO DO","TO DO","FALSE","FALSE",1,"FALSE",NA,NA,NA
"8","1a28a23025f08d6a19019c83c4f328c5","1","For example, in 2011 the WHO-based report on ‘Women’s Lives and Family Relationships’8 reported that 60 per cent of women had been subjected to physical and/or sexual violence by husbands/partners in their lifetime, and for 90 per cent of these women the violence was severe. More than 1 in 4 women over the age of 15 years experienced physical violence by non-partners, 1 in 3 women experienced sexual abuse when they were under the age of 15 years and 2 in 5 women were forced into first sex. The study showed that acts of sexual violence caused injuries for many women (including loss of consciousness for 50%). One in 5 of those injured suffered permanent disability.",NA,"FALSE","TO DO","TO DO","FALSE","FALSE",1,"FALSE",NA,NA,NA
"9","1d2be08d15053dc526c7e7f81c1814b1","1","Moreover, the subordinate status of women in the household has been argued with reference to time use and violence against women.18 Women work longer hours than men and they may have fewer chances in the formal labour market because the domestic tasks are not equally distributed in the household (see Chapter 4 — Work), and significant proportions of women are victims of domestic violence (see Chapter 6 — Violence against women). Women experience more disadvantages when they live in poor households. For example, in countries such as Pakistan and Yemen, girls and boys from the wealthiest quintile have relatively similar net school attendance rates in primary education, but in the poorest quintile the net school attendance of girls is lower than that of boys by 17 and 25 percentage points respectively.19 In households with poor access to clean water and energy, women bear most of the resulting work burden and harmful health effects (see Chapter 7 — Environment).",NA,"FALSE","TO DO","TO DO","FALSE","TRUE",0.333333333333333,"UNDECIDED",NA,NA,NA
"10","220bacc253a71239fd23c3e38b1536d5","1","Particular thanks are due to Remy Pigois, Yves Dublin and Vincenzo Vinci from UNICEF and to Sarah Coll-Black and Colin Andrews (World Bank), as well as to the National Social Protection Platform of Ethiopia. Pamela Dale and Gaby Guerrero Serdan, also from UNICEF, also provided valuable guidance. These workshops were attended by representatives of the Government of Ethiopia, development partners and members of civil society.",NA,"FALSE","TO DO","TO DO","FALSE","FALSE",1,"FALSE",NA,NA,NA
