"Text ID","SDG","Alignment","Rationale","Comments","Notes"
"0ad121123a1a4d3051e4c61ffaf28fca","1",0.333333333333333,NA,"- Steve: though on income support it doesn't make a link to actual poverty, it could just be support for low-income groups that are still considered above poverty line",NA
"0e0417524874276c333f6c90f4bbd09c","1",0.333333333333333,NA,"- Steve: not really linked to SDG 1 objectives",NA
"1d2be08d15053dc526c7e7f81c1814b1","1",0.333333333333333,NA,"- Finn: inequality rather than poverty",NA
"5cdc0ee52c091af398aa06b882e562e1","1",0.333333333333333,NA,"- Finn: target 1.5",NA
"72a452d93bcd12adcbbceb08437c08dc","1",0.333333333333333,NA,"- Finn: target 1.5",NA
"d29a9065dd309a3811c7bbe2886ddbe6","1",0.333333333333333,NA,"- Finn: last sentence
- Meike: this one is also fact stating but no value laden words",NA
"daad8a68fc5357535a9aaefc0dc1856b","1",0.333333333333333,NA,"- Finn: target 1.3
- Steve: though it is more fact-stating without clear call to action or value",NA
"2d129daebd4a9c2d302351e88fc478fa","1",0.333333333333333,NA,"- Meike: not about how to reduce poverty, only about how export relates to poverty",NA
"309a7ed8fb433468841c9af6a5153981","1",0.333333333333333,NA,"- Finn: last sentence
- Meike: only last word is about poverty",NA
"cef83cbff4c0698da1cf48ca72ffd852","1",0.333333333333333,NA,"- Finn: target 1.3",NA
"6a5af006f75170a2b7819be58a208e63","1",0.333333333333333,NA,"- Finn: focused on humanitarian relief rather than social protection",NA
"019c48034c68914bcff8b50339a91ced","1",0.333333333333333,NA,"- Finn: target 1.3",NA
"59cda4203d9918fe592951702141ee2a","1",0.333333333333333,NA,"- Finn: target 1.3",NA
"7d0a12b8920ed5907cc360342a8e083c","1",0.333333333333333,NA,"- Meike: remittances reduce poverty globally",NA
"2aca66bc4e9ec5786ad601adcda48ba7","1",0.333333333333333,NA,"- Meike: not about how to end povery, mainly about modeling",NA
"fe3884f249f1c1bcae94fedba2570026","1",0.333333333333333,NA,"- Finn: target 1.3",NA
"9229adede2dfdb21479661ccefc045a6","1",0.333333333333333,NA,"- Meike: especially last sentence is the target 1b",NA
"00481f7457e44697cbe4fbbf0bff4330","10",0.2,"gender equality is part of SDG 10","gender equality is part of SDG 10","previous consensus: SDG 10"
"5c08e62632ad938fad4047f360cb3e12","10",0.2,"irregular migration falls under target 10.7","irregular migration falls under target 10.7","previous consensus: SDG 10"
"7f312470a94fd3a63bd29b695c04dff5","10",0.2,"gender equality is part of SDG 10","gender equality is part of SDG 10","previous consensus: SDG 10"
"d6f44e4cd923c9c50b1a33a56ee1d168","10",0.2,"richer countries have greater ability than poorer countries / unequal opportunity","richer countries have greater ability than poorer countries / unequal opportunity","previous consensus: SDG 10"
"31b7bdf98af44b02c97baaa4384686b7","11",0.3333333333,NA,"- Steve: question is if anything related to road accidents should be linked to safe transportation?",NA
"58d2964f44eefc3c06eb3418b169055a","11",0.3333333333,NA,"- Steve: 11.a, though rather weak lin k",NA
"79902a4fab2ddb85c1c4930afc06754d","11",0.3333333333,NA,"- Steve: on sustainable transportation, though more on fuel prices and less on access to affordable, safe sustainable transportation",NA
"a329efb3796c2a2a2675e0aef85856d6","11",0.3333333333,NA,"- Steve: more on effective multi-level governance",NA
"59817bab27fa71125af7ca040e5805bb","11",0.3333333333,NA,"- Finn: not sure",NA
"04fa7f8e790b8447cc003980e8d5cb2e","11",0.3333333333,NA,"- Finn: territorial approach?
- Steve: maybe, if Morelos would be a city not a state",NA
"05ef8c9f76f8ee35eaa4e37059e4930a","11",0.3333333333,NA,"- Finn: basic services
- Steve: uncertain though",NA
"e6dc4cad356ac7cf988e3df85ac6520d","11",0.3333333333,NA,"- Finn: target 11.2
- Steve: categorically excluded road accident-related snaps as clearly linked to 3.6",NA
"c111b96e28b9d1557f21ef1f0a990232","11",0.3333333333,NA,"- Steve: NUP = National urban policy",NA
"feb9f138ce3a24abf7c20185de1e6761","11",0.3333333333,NA,"- Finn: interregional planning
- Steve: links very vaguely to 11.3",NA
"45d33738d0763be0e2f7493b5cb282e5","11",0.3333333333,NA,"- Finn: SDG 16?
- Steve: 11.3? Not a strong link though",NA
"96e7781631a269b3f00c4bc5d8c3a8e0","11",0.3333333333,NA,"- Steve: on SDG 3.6",NA
"d4e5265d4553d8e42c46182669ddd9e2","11",0.3333333333,NA,"- Finn: interregional cooperation",NA
"da6a6bd787a8eab69390494ce0acec4a","11",0.3333333333,NA,"- Steve: links to transport infrastructure constraints",NA
"0eb4e8e81d1ff8905ec2a816e9192c3c","11",0.3333333333,NA,"- Finn: not sure",NA
"9041eb58c6a884bf01e685db2315667c","11",0.3333333333,NA,"- Steve: 11.a, though vaguely again",NA
"de263d842282fe93a77fb4d8a7f3fb3e","11",0.3333333333,NA,"- Steve: urbanization and international migration, weak link though",NA
"f2a94335f1f51b9998ced8bb9d32542f","11",0.3333333333,NA,"- Finn: inter-regional planning",NA
"32282e63dd170a21f7cb16e599bb8c56","11",0.3333333333,NA,"- Finn: more SDG 2
- Steve: again 11.5 at core but on country level",NA
